page,dpi,variant,seconds,overall_cer,digits_cer,cjk_cer,latin_cer,error
180,150,clean,11.93,0.5208105147864184,0.34493426140757927,0.8053892215568862,,
180,150,perspective,10.37,0.5974808324205915,0.45707656612529,0.8383233532934131,,
180,150,skew3deg,9.76,0.7453450164293538,0.6705336426914154,0.8053892215568862,,
180,300,clean,17.07,0.628696604600219,0.48878576952822894,0.7574850299401198,,
180,300,perspective,31.9,0.5969331872946331,0.4748646558391338,0.7724550898203593,,
180,300,skew3deg,,,,,,subprocess exit -9: 
180,72,clean,17.34,0.592552026286966,0.42923433874709976,0.8383233532934131,,
180,72,perspective,11.86,0.6089813800657174,0.48491879350348027,0.8413173652694611,,
180,72,skew3deg,16.32,0.7458926615553122,0.6720804331013148,0.8383233532934131,,
30,150,clean,17.0,0.21769837972579975,0.18354157690650583,0.9759036144578314,,
30,150,perspective,10.63,0.3676776069796427,0.33606204222317965,0.9759036144578314,,
30,150,skew3deg,11.14,0.6078105525550478,0.5855234812580784,0.9759036144578314,,
30,300,clean,20.0,0.1927710843373494,0.16070659198621284,0.927710843373494,,
30,300,perspective,20.38,0.3103448275862069,0.28263679448513573,0.9397590361445783,,
30,300,skew3deg,,,,,,subprocess exit -9: 
30,72,clean,9.57,0.24927295388450352,0.21068504954760878,0.9759036144578314,,
30,72,perspective,8.62,0.40216036560033236,0.36880654890133563,0.9759036144578314,,
30,72,skew3deg,8.42,0.6406314914831741,0.6217147781128823,0.9518072289156626,,
